name,nationalDexNum,types,stats
Bulbasaur,1,"['Grass', 'Poison']","{'HP': '45', 'Attack': '49', 'Defense': '49', 'Sp. Atk': '65', 'Sp. Def': '65', 'Speed': '45', 'Total': '318'}"
Ivysaur,2,"['Grass', 'Poison']","{'HP': '60', 'Attack': '62', 'Defense': '63', 'Sp. Atk': '80', 'Sp. Def': '80', 'Speed': '60', 'Total': '405'}"
Venusaur,3,"['Grass', 'Poison']","{'HP': '80', 'Attack': '82', 'Defense': '83', 'Sp. Atk': '100', 'Sp. Def': '100', 'Speed': '80', 'Total': '525'}"
Charmander,4,['Fire'],"{'HP': '39', 'Attack': '52', 'Defense': '43', 'Sp. Atk': '60', 'Sp. Def': '50', 'Speed': '65', 'Total': '309'}"
Charmeleon,5,['Fire'],"{'HP': '58', 'Attack': '64', 'Defense': '58', 'Sp. Atk': '80', 'Sp. Def': '65', 'Speed': '80', 'Total': '405'}"
Charizard,6,"['Fire', 'Flying']","{'HP': '78', 'Attack': '84', 'Defense': '78', 'Sp. Atk': '109', 'Sp. Def': '85', 'Speed': '100', 'Total': '534'}"
Squirtle,7,['Water'],"{'HP': '44', 'Attack': '48', 'Defense': '65', 'Sp. Atk': '50', 'Sp. Def': '64', 'Speed': '43', 'Total': '314'}"
Wartortle,8,['Water'],"{'HP': '59', 'Attack': '63', 'Defense': '80', 'Sp. Atk': '65', 'Sp. Def': '80', 'Speed': '58', 'Total': '405'}"
Blastoise,9,['Water'],"{'HP': '79', 'Attack': '83', 'Defense': '100', 'Sp. Atk': '85', 'Sp. Def': '105', 'Speed': '78', 'Total': '530'}"
Caterpie,10,['Bug'],"{'HP': '45', 'Attack': '30', 'Defense': '35', 'Sp. Atk': '20', 'Sp. Def': '20', 'Speed': '45', 'Total': '195'}"
Metapod,11,['Bug'],"{'HP': '50', 'Attack': '20', 'Defense': '55', 'Sp. Atk': '25', 'Sp. Def': '25', 'Speed': '30', 'Total': '205'}"
Butterfree,12,"['Bug', 'Flying']","{'HP': '60', 'Attack': '45', 'Defense': '50', 'Sp. Atk': '90', 'Sp. Def': '80', 'Speed': '70', 'Total': '395'}"
Weedle,13,"['Bug', 'Poison']","{'HP': '40', 'Attack': '35', 'Defense': '30', 'Sp. Atk': '20', 'Sp. Def': '20', 'Speed': '50', 'Total': '195'}"
Kakuna,14,"['Bug', 'Poison']","{'HP': '45', 'Attack': '25', 'Defense': '50', 'Sp. Atk': '25', 'Sp. Def': '25', 'Speed': '35', 'Total': '205'}"
Beedrill,15,"['Bug', 'Poison']","{'HP': '65', 'Attack': '90', 'Defense': '40', 'Sp. Atk': '45', 'Sp. Def': '80', 'Speed': '75', 'Total': '395'}"
Pidgey,16,"['Normal', 'Flying']","{'HP': '40', 'Attack': '45', 'Defense': '40', 'Sp. Atk': '35', 'Sp. Def': '35', 'Speed': '56', 'Total': '251'}"
Pidgeotto,17,"['Normal', 'Flying']","{'HP': '63', 'Attack': '60', 'Defense': '55', 'Sp. Atk': '50', 'Sp. Def': '50', 'Speed': '71', 'Total': '349'}"
Pidgeot,18,"['Normal', 'Flying']","{'HP': '83', 'Attack': '80', 'Defense': '75', 'Sp. Atk': '70', 'Sp. Def': '70', 'Speed': '101', 'Total': '479'}"
Rattata,19,['Normal'],"{'HP': '30', 'Attack': '56', 'Defense': '35', 'Sp. Atk': '25', 'Sp. Def': '35', 'Speed': '72', 'Total': '253'}"
Raticate,20,['Normal'],"{'HP': '55', 'Attack': '81', 'Defense': '60', 'Sp. Atk': '50', 'Sp. Def': '70', 'Speed': '97', 'Total': '413'}"
Spearow,21,"['Normal', 'Flying']","{'HP': '40', 'Attack': '60', 'Defense': '30', 'Sp. Atk': '31', 'Sp. Def': '31', 'Speed': '70', 'Total': '262'}"
Fearow,22,"['Normal', 'Flying']","{'HP': '65', 'Attack': '90', 'Defense': '65', 'Sp. Atk': '61', 'Sp. Def': '61', 'Speed': '100', 'Total': '442'}"
Ekans,23,['Poison'],"{'HP': '35', 'Attack': '60', 'Defense': '44', 'Sp. Atk': '40', 'Sp. Def': '54', 'Speed': '55', 'Total': '288'}"
Arbok,24,['Poison'],"{'HP': '60', 'Attack': '95', 'Defense': '69', 'Sp. Atk': '65', 'Sp. Def': '79', 'Speed': '80', 'Total': '448'}"
Pikachu,25,['Electric'],"{'HP': '35', 'Attack': '55', 'Defense': '40', 'Sp. Atk': '50', 'Sp. Def': '50', 'Speed': '90', 'Total': '320'}"
