name,type,category,power,accuracy,PP,effect,effectProbability
"10,000,000 Volt Thunderbolt",Electric,special,195,—,1,Pikachu-exclusive Z-Move. High critical hit ratio.,—
Absorb,Grass,special,20,100,25,User recovers half the HP inflicted on opponent.,—
Accelerock,Rock,physical,40,100,20,User attacks first.,—
Acid,Poison,special,40,100,30,May lower opponent's Special Defense.,10
Acid Armor,Poison,status,—,—,20,Sharply raises user's Defense.,—
Acid Downpour,Poison,,—,—,1,Poison type Z-Move.,—
Acid Spray,Poison,special,40,100,20,Sharply lowers opponent's Special Defense.,100
Acrobatics,Flying,physical,55,100,15,Stronger when the user does not have a held item.,—
Acupressure,Normal,status,—,—,30,Sharply raises a random stat.,—
Aerial Ace,Flying,physical,60,∞,20,Ignores Accuracy and Evasiveness.,—
Aeroblast,Flying,special,100,95,5,High critical hit ratio.,—
After You,Normal,status,—,—,15,Gives target priority in the next turn.,—
Agility,Psychic,status,—,—,30,Sharply raises user's Speed.,—
Air Cutter,Flying,special,60,95,25,High critical hit ratio.,—
Air Slash,Flying,special,75,95,15,May cause flinching.,30
All-Out Pummeling,Fighting,,—,—,1,Fighting type Z-Move.,—
Alluring Voice,Fairy,special,80,100,10,,—
Ally Switch,Psychic,status,—,—,15,User switches with opposite teammate.,—
Amnesia,Psychic,status,—,—,20,Sharply raises user's Special Defense.,—
Anchor Shot,Steel,physical,80,100,20,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,—
Ancient Power,Rock,special,60,100,5,May raise all user's stats at once.,10
Apple Acid,Grass,special,80,100,10,Lowers target's Special Defense.,100
Aqua Cutter,Water,physical,70,100,20,High critical hit ratio.,—
Aqua Jet,Water,physical,40,100,20,User attacks first.,—
Aqua Ring,Water,status,—,—,20,Restores a little HP each turn.,—
Aqua Step,Water,physical,80,100,10,Raises user's Speed.,100
Aqua Tail,Water,physical,90,90,10,,—
Arm Thrust,Fighting,physical,15,100,20,Hits 2-5 times in one turn.,—
Armor Cannon,Fire,special,120,100,5,Lowers user's Defense and Special Defense.,—
Aromatherapy,Grass,status,—,—,5,Cures all status problems in your party.,—
Aromatic Mist,Fairy,status,—,—,20,Raises Special Defense of an ally.,—
Assist,Normal,status,—,—,20,User performs a move known by its allies at random.,—
Assurance,Dark,physical,60,100,10,Power doubles if opponent already took damage in the same turn.,—
Astonish,Ghost,physical,30,100,15,May cause flinching.,30
Astral Barrage,Ghost,special,120,100,5,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,—
Attack Order,Bug,physical,90,100,15,High critical hit ratio.,—
Attract,Normal,status,—,100,15,"If opponent is the opposite gender, it's less likely to attack.",—
Aura Sphere,Fighting,special,80,∞,20,Ignores Accuracy and Evasiveness.,—
Aura Wheel,Electric,physical,110,100,10,Changes type based on Morpeko's Mode.,100
Aurora Beam,Ice,special,65,100,20,May lower opponent's Attack.,10
Aurora Veil,Ice,status,—,—,20,Halves damage from Physical and Special attacks for five turns.,—
Autotomize,Steel,status,—,—,15,Reduces weight and sharply raises Speed.,—
Avalanche,Ice,physical,60,100,10,Power doubles if user took damage first.,—
Axe Kick,Fighting,physical,120,90,10,"May confuse opponent. If it misses, the user loses HP.",—
Baby-Doll Eyes,Fairy,status,—,100,30,Always goes first. Lowers the target's attack.,—
Baddy Bad,Dark,special,90,100,15,Reduces damage from Physical attacks.,—
Baneful Bunker,Poison,status,—,—,10,Protects the user and poisons opponent on contact.,—
Barb Barrage,Poison,physical,60,100,10,May poison opponent; inflicts double damage if the target is already poisoned.,—
Barrage,Normal,physical,15,85,20,Hits 2-5 times in one turn.,—
Barrier,Psychic,status,—,—,20,Sharply raises user's Defense.,—
Baton Pass,Normal,status,—,—,40,User switches out and gives stat changes to the incoming Pokémon.,—
Beak Blast,Flying,physical,100,100,15,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.",—
Beat Up,Dark,physical,—,100,10,Each Pokémon in user's party attacks.,—
Behemoth Bash,Steel,physical,100,100,5,Damage doubles if target is Dynamaxed.,—
Behemoth Blade,Steel,physical,100,100,5,Damage doubles if target is Dynamaxed.,—
Belch,Poison,special,120,90,10,User must have consumed a Berry.,—
Belly Drum,Normal,status,—,—,10,"User loses 50% of its max HP, but Attack raises to maximum.",—
Bestow,Normal,status,—,—,15,Gives the user's held item to the target.,—
Bide,Normal,physical,—,—,10,User takes damage for two turns then strikes back double.,—
Bind,Normal,physical,15,85,20,"Traps opponent, damaging them for 4-5 turns.",100
Bite,Dark,physical,60,100,25,May cause flinching.,30
Bitter Blade,Fire,physical,90,100,10,User recovers half the HP inflicted on opponent.,—
Bitter Malice,Ghost,special,75,100,10,Lowers opponent's Attack.,—
